Justice,Description,President,Trivial Facts, , , , ,,,,,,,,,,,,,,,,,
Wiley Blount Rutledge,"Wiley Blount Rutledge (Justice #83) was born in IA and served on the Supreme Court during the years 1943?1949
(5?6 years)",Franklin D. Roosevelt,,,,,,,,,,,,,,,,,,,,,,
Harold Hitz Burton,"Harold Hitz Burton (Justice #84) was born in OH and served on the Supreme Court during the years 1945?1958
(12?13 years)",Harry S. Truman,,,,,,,,,,,,,,,,,,,,,,
Fred M. Vinson¢Ó,"Fred M. Vinson¢Ó (Justice #85) was born in KY and served on the Supreme Court during the years 1946?1953
(6?7 years)",Harry S. Truman,,,,,,,,,,,,,,,,,,,,,,
Tom C. Clark,"Tom C. Clark (Justice #86) was born in TX and served on the Supreme Court during the years 1949?1967
(17?18 years)",Harry S. Truman,,,,,,,,,,,,,,,,,,,,,,
Sherman Minton,"Sherman Minton (Justice #87) was born in IN and served on the Supreme Court during the years 1949?1956
(6?7 years)",Harry S. Truman,,,,,,,,,,,,,,,,,,,,,,
Earl Warren*¢Ó,"Earl Warren*¢Ó (Justice #88) was born in CA and served on the Supreme Court during the years 1953?1969
(15?16 years)",Dwight D. Eisenhower,,,,,,,,,,,,,,,,,,,,,,
John Marshall Harlan II,"John Marshall Harlan II (Justice #89) was born in NY and served on the Supreme Court during the years 1955?1971
(15?16 years)",Dwight D. Eisenhower,,,,,,,,,,,,,,,,,,,,,,
"William J. Brennan, Jr.*","William J. Brennan, Jr.* (Justice #90) was born in NJ and served on the Supreme Court during the years 1956?1990
(33?34 years)",Dwight D. Eisenhower,,,,,,,,,,,,,,,,,,,,,,
Charles Evans Whittaker,"Charles Evans Whittaker (Justice #91) was born in MO and served on the Supreme Court during the years 1957?1962
(4?5 years)",Dwight D. Eisenhower,,,,,,,,,,,,,,,,,,,,,,
Potter Stewart*,"Potter Stewart* (Justice #92) was born in OH and served on the Supreme Court during the years 1958?1981
(22?23 years)",Dwight D. Eisenhower,,,,,,,,,,,,,,,,,,,,,,
Byron White,"Byron White (Justice #93) was born in CO and served on the Supreme Court during the years 1962?1993
(30?31 years)",John F. Kennedy,,,,,,,,,,,,,,,,,,,,,,
Arthur Goldberg,"Arthur Goldberg (Justice #94) was born in IL and served on the Supreme Court during the years 1962?1965
(2?3 years)",John F. Kennedy,,,,,,,,,,,,,,,,,,,,,,
Abe Fortas,"Abe Fortas (Justice #95) was born in TN and served on the Supreme Court during the years 1965?1969
(3?4 years)",Lyndon B. Johnson,,,,,,,,,,,,,,,,,,,,,,
Thurgood Marshall,"Thurgood Marshall (Justice #96) was born in NY and served on the Supreme Court during the years 1967?1991
(23?24 years)",Lyndon B. Johnson,First African-American justice: Thurgood Marshall,,,,,,,,,,,,,,,,,,,,,
Warren E. Burger¢Ó,"Warren E. Burger¢Ó (Justice #97) was born in MN and served on the Supreme Court during the years 1969?1986
(16?17 years)",Richard M. Nixon,,,,,,,,,,,,,,,,,,,,,,
